Colaborador,Fuente,Sexo,Origen,Nacimiento,Muerte
"Andreve, Guillermo",http://viaf.org/viaf/34302495,M,Panamá,1879,1940
"Ángel, Abraham",http://viaf.org/viaf/23773603,M,México,1905,1924
"Ángeles Ortiz, Manuel",http://viaf.org/viaf/49403783,M,España,1895,1984
"Angélico, Fra",http://viaf.org/viaf/88038345,M,Italia,1400,1455
"Anisimov, Ivan Vasil'evich",http://viaf.org/viaf/170861077,M,NA,NA,NA
"Annenkov, Ûrij Pavlovic",http://viaf.org/viaf/40183103,M,Rusia,1889,1974
"Ansermet, Ernest",http://viaf.org/viaf/14957421,M,Suiza,1883,1969
"Antón, Francisco",http://viaf.org/viaf/86948885,M,España,1880,1970
"Antonio, Julio",http://viaf.org/viaf/54946249,M,España,1889,1919
"Antonio, Manuel",http://viaf.org/viaf/20488262,M,España,1900,1930
"Antuña, José G.",http://viaf.org/viaf/4922740,M,Uruguay,1888,1972
"Apfelbaum, Hirsch",http://viaf.org/viaf/68947907,M,Rusia,1883,1936
"Apollinaire, Guillaume",http://viaf.org/viaf/66462795,M,Francia,1880,1918
"Appleton Clark, Walter",http://viaf.org/viaf/61445815,M,Estados Unidos,1876,1906
"Apraiz y Buesa, Odón",http://viaf.org/viaf/8755035,M,España,1896,1984
"Araceli, Gabriel",http://viaf.org/viaf/87209937,M,NA,NA,NA
"Aragón Leiva, Agustín",http://viaf.org/viaf/315610076,M,México,1903,1962
"Aragon, Louis",http://viaf.org/viaf/8178518,M,Francia,1897,1982
"Aragonés, Eutiquio",http://viaf.org/viaf/271054995,M,Cuba,1894,1970
"Aramburo y Machado, Mariano",http://viaf.org/viaf/66093743,M,Cuba,1870,1942
"Arana, Antonio",http://viaf.org/viaf/309573624,M,España,1868,1928
"Araquistáin, Luis",http://viaf.org/viaf/24616799,M,España,1886,1959
"Arata, Pedro Narciso",http://viaf.org/viaf/17970956,M,Argentina,1849,1922
"Araujo-Costa, Luis",http://viaf.org/viaf/99275804,M,España,1885,1956
"Araujo, Murillo",http://viaf.org/viaf/3813116,M,Brasil,1894,1980
"Araújo, Norberto de",http://viaf.org/viaf/58141396,M,Portugal,1889,1952
"Arboleya Martínez, Maximiliano",http://viaf.org/viaf/19584210,M,España,1870,1951
"Arbulú Miranda, Carlos",http://archivo.mariategui.org/index.php/arbulu-miranda-carlos,M,Perú,1901,NA
"Arburu y Morell, José",http://viaf.org/viaf/66053772,M,Cuba,1864,1889
"Archdeacon, Ernest",http://viaf.org/viaf/59276853,M,Francia,1863,1950
"Arciaga, Lorenzo Romero",http://viaf.org/viaf/184144647691369146524,M,Cuba,1905,NA
"Arciniega, Rosa",http://viaf.org/viaf/31632860,F,Perú,1909,1999
"Arciniegas, Germán",http://viaf.org/viaf/66462822,M,Colombia,1900,1999
"Arciniegas, Ismael Enrique",http://viaf.org/viaf/30956884,M,Colombia,1865,1938
"Arco, Ángel del",http://viaf.org/viaf/310501658,M,España,1862,1925
"Arconada, César M.",http://viaf.org/viaf/15759545,M,España,1898,1964
"Arenal, Concepción",http://viaf.org/viaf/17265226,F,España,1820,1893
"Arène, Paul",http://viaf.org/viaf/71386440,M,Francia,1843,1896
"Arévalo, Francisco",http://viaf.org/viaf/66148025,M,España,1891,1962
"Argerich, Juan Antonio",http://viaf.org/viaf/9446743,M,Argentina,1862,1924
"Argilagós, Rafael G.",http://viaf.org/viaf/297627297,M,NA,1885,1967
"Argüelles Bringas, Gonzalo",https://de.wikipedia.org/wiki/Gonzalo_Arg%C3%BCelles_Bringas,M,México,1877,1942
"Argüelles Bringas, Roberto",http://viaf.org/viaf/33649829,M,México,1875,1915
"Argüello, Lino",http://viaf.org/viaf/77570085,M,Nicaragua,1887,1937
"Argüello, Santiago",http://viaf.org/viaf/71517144,M,Chile,1872,1940
"Arias Sánchez, Alberto",http://viaf.org/viaf/80145857104022922362,M,Ecuador,1876,1901
"Arias, Pedro G.",http://viaf.org/viaf/21657287,M,España,1892,NA
"Arkhipov, Abram Efimovich",http://viaf.org/viaf/24872735,M,Rusia,1862,1930
"Arlt, Roberto",http://viaf.org/viaf/59078148,M,Argentina,1900,1942
"Armada y Losada, Juan de",http://viaf.org/viaf/100063600,M,España,1859,1932
"Armas y Cárdenas, José de",http://viaf.org/viaf/1447037,M,Cuba,1866,1919
"Armas, Augusto de",http://viaf.org/viaf/2610149198252074940005,M,Cuba,1869,1893
"Armaza, Emilio",http://joseportugalcatacora.blogspot.com/2013/11/emilio-armaza-valdez.html,M,Perú,1902,1980
"Arnauld, Celine",http://viaf.org/viaf/60543666,F,Francia,1885,1952
"Arnault, Antoine-Vincent",http://viaf.org/viaf/5029448,M,Francia,1766,1834
"Arniches Moltó, Carlos",http://viaf.org/viaf/5124151247950644270002,M,España,1895,1958
"Arniches, Carlos",http://viaf.org/viaf/7467247,M,España,1866,1943
"Arnoux, Alexandre",http://viaf.org/viaf/6650,M,Francia,1884,1973
"Arnyvelde, André","http://viaf.org/viaf/17347084/#Arnyvelde,_Andr%C3%A9_(1881-1942).",M,Francia,1881,1942
"Arosa, Margarita",http://dbe.rah.es/biografias/27333/margarita-arosa,F,Francia,1852,1901
"Arp, Jean",http://viaf.org/viaf/7386175,M,Francia,1887,1966
"Arraiz, Antonio",http://viaf.org/viaf/54198063,M,Venezuela,1903,1962
"Arreaza Calatrava, José Tadeo",http://viaf.org/viaf/32084544,M,NA,NA,NA
"Arrieta, Rafael Alberto",http://viaf.org/viaf/73931592,M,Argentina,1888,1968
"Arrowsmith, Aaron",http://viaf.org/viaf/18101110,M,Reino Unido,1750,1823
"Artigas, Miguel",http://viaf.org/viaf/59109799,M,España,1887,1947
"Artiles Rodríguez, Jenaro",http://viaf.org/viaf/304916072,M,España,1897,1976
"Arzadún, Juan",http://viaf.org/viaf/206458923,M,NA,1862,1950
"Asch, Nathan",http://viaf.org/viaf/69911963,M,Estados Unidos,1902,1964
"Asensio Más, Ramón",http://viaf.org/viaf/72733457,M,España,1878,1917
"Asín Palacios, Miguel",http://viaf.org/viaf/14765515,M,España,1871,1944
"Asins i Lerma, Pasqual",http://viaf.org/viaf/304163274,M,España,1896,1948
"Astrada, Carlos",http://viaf.org/viaf/9969745,M,Argentina,1894,1970
