Colaborador,Fuente,Seudonimo,Sexo,Origen,Nacimiento,Muerte,GND_ID,Wikidata_ID,Colaboradores_GND,Sexo o género_GND,Fecha de nacimiento_GND,Fecha de fallecimiento_GND,Lugar de nacimiento GND,País de origen GND,Colaboradores_Wikidata,sexo o género_Wikidata,Lugar de nacimiento_Wikidata,País de origen_Wikidata,Fecha de nacimiento_Wikidata,Fecha de fallecimiento_Wikidata,Colaborador_VIAF,Link_VIAF,Otras fuentes,
"Lemaitre Román, Eduardo",https://d-nb.info/gnd/1056287683,,M,Colombia,1914,1994,1056287683,,"Lemaitre, Eduardo",Unbekannt,1914,1994,Cartagena,Spanien,"Lemaitre Román, Eduardo",,,,,,"Lemaitre, Eduardo 1914-....",http://viaf.org/viaf/41808,41808,
"Lemaître, Jules",http://viaf.org/viaf/56625290,,M,Francia,1853,1914,,,,,,,,,,,,,,,,,,
"Lemly, Henry Rowan",WW US 1908-1909; Herringshaw: Nat-Lib; Knight: Authors,,M,Estados Unidos,1851,,,Q56284495,"Lemly, Henry R.",,,,,,Henry R Lemly,male,,,,,"Lemly, Henry R.",,,
"León Gómez, Adolfo",https://es.wikipedia.org/wiki/Adolfo_Le%C3%B3n_G%C3%B3mez,,M,Colombia,1857,1927,1204222819,Q4684243,"León Gómez, Adolfo",Unbekannt,1857-09-19,1927-06-09,,,Adolfo León Gómez,male,Pasca,Colombia,1857-09-19,1927-06-09,"Gómez, Adolfo León",,,
"León Rey, José Antonio",http://viaf.org/viaf/100199614,,M,Colombia,1903,1994,1158989660,,"León Rey, José Antonio",Unbekannt,,,,,"León Rey, José Antonio",,,,,,"León Rey, José Antonio.",http://viaf.org/viaf/100199614,100199614,
"León Robles, Nicanor de",Sánchez: Diccionario,,M,Colombia,1919,,,,"León Robles, Nicanor de",,,,,,"León Robles, Nicanor de",,,,,,"León Robles, Nicanor de",,,
"León, Ricardo",https://acortar.link/glg1pH,NA,M,España,1877,1943,https://d-nb.info/gnd/120770156,https://www.wikidata.org/wiki/Q6108283,"León, Ricardo",NA,1877,1943,NA,España,Ricardo León,M,Barcelona,España,15 de October de 1877,16046,"León, Ricardo",http://viaf.org/viaf/167235,,
"Leopardi, Giacomo",https://es.wikipedia.org/wiki/Giacomo_Leopardi,,M,Italia,1798,1837,118571834,Q172599,"Leopardi, Giacomo",Männlich,1798-06-29,1837-02-15,Recanati,Italien,Giacomo Leopardi,male,Recanati,Italy,1798-06-29,1837-06-14,"Leopardi, Giacomo",http://viaf.org/viaf/12311353,,
"Level, Maurice",https://www.wikidata.org/wiki/Q3301073,,M,Francia,1875,1926,1177293927,Q3301073,"Level, Maurice",Männlich,1875-08-29,1926-04-14,Vendôme,Frankreich,Maurice Level,male,Vendôme,France,1875-08-29,1926-04-14,"Level, Maurice",http://viaf.org/viaf/16832138,16832138,
"Levillier, Roberto",https://es.wikipedia.org/wiki/Roberto_Levillier,,M,Argentina,1881,1969,116964081,Q1496155,,,,,,,,,,,,,,http://viaf.org/viaf/22513345,,
"Lewisohn, Ludwig",https://www.wikidata.org/wiki/Q3266243,,M,Alemania,1882,1955,118779826,Q3266243,"Lewisohn, Ludwig",Männlich,,,,,"Lewisohn, Ludwig",male,Berlin,Germany,1882-05-30,1955-12-31,"Lewisohn, Ludwig",https://viaf.org/viaf/44380209,44380209,
"Leyva Pereira, Lisandro",Wikidata,,M,Colombia,1886,,,Q115641924,,,,,,,Lisandro Leyva Pereira,male,,,,,,,,
"Libreros, José Ignacio",QeQ Ven.; Minchero; Sánchez: Diccionario,,M,Colombia,1915,,,,"Libreros, José Ignacio",,,,,,"Libreros, José Ignacio",,,,,,"Libreros, José Ignacio",,,
"Liévano, Roberto",https://d-nb.info/gnd/1245176846,,M,Colombia,1894,1975,1245176846,,"Liévano, Roberto",Unbekannt,1894-03-02,1975-02-03,Bogotá,Kolumbien,"Liévano, Roberto",,,,,,"Liévano, Roberto",,,
"Ligerot, Marguerite",,"Dombre, Roger",F,Francia,1859,1914,https://d-nb.info/gnd/1025801989,https://www.wikidata.org/wiki/Q42529454,,,,,,,,,,,,,,http://viaf.org/viaf/37053113,,
"Ligouri, Alfonso Maria de",,,M,Italia,1697,1787,,,,,,,,,,,,,,,,http://viaf.org/viaf/22311625,,
"Limantour, José Yves",https://es.wikipedia.org/wiki/Jos%C3%A9_Yves_Limantour,,M,México,1854,1935,1057511749,Q684289,,,,,,,,,,,,,,"https://viaf.org/viaf/64308384/#Limantour,_Jos%C3%A9_Yves_(1854-1935)",,
"Linares, Antonio G. de",https://acortar.link/p9gqFP,NA,M,España,1875,1945,https://d-nb.info/gnd/1297136861,https://www.wikidata.org/wiki/Q20015293,"González de Linares, Antonio",NA,1875,1945,NA,España; Francia,Antonio González Linares,M,NA,España,1875,1945,Antonio González Linares,http://viaf.org/viaf/46437394,,
"Lipparini, Giuseppe",https://it.wikipedia.org/wiki/Giuseppe_Lipparini,,M,Italia,1877,1951,119439263,Q3770818,"Lipparini, Giuseppe",Unbekannt,1877,1951,,,"Lipparini, Guiseppe",male,Bologna,Italy,1877-09-02,1951-03-05,"Lipparini, Guiseppe",,,
"Llanos, Antonio",https://www.wikidata.org/wiki/Q5698810,,M,Colombia,1905,1978,,Q5698810,"Llanos, Antonio",,,,,,Antonio Llanos,male,,,1905-01-01T00:00:00Z,1978-01-01T00:00:00Z,"Llanos, Antonio",,,
"Llanos, Luis de",https://enciclopedia.banrepcultural.org/index.php/Luis_de_Llanos,,M,España,1843,1895,,,,,,,,,,,,,,,,,,
"Lleras Camargo, Alberto",https://www.wikidata.org/wiki/Q12002,,M,Colombia,1906,1990,137505124,Q12002,"Lleras Camargo, Alberto",Unbekannt,1906,1990,Bogotá,Kolumbien,Alberto Lleras Camargo,male,Bogotá,Colombia,1906-07-03T00:00:00Z,1990-01-04T00:00:00Z,"Lleras Camargo, Alberto, 1906-1990.",http://viaf.org/viaf/39393082,39393082,
"Lleras Camargo, Felipe",https://www.wikidata.org/wiki/Q66822296,Ruy-Blas,M,Colombia,1900,1987,1249114977,Q66822296,"Lleras, Felipe",Unbekannt,1900,1987,Bogotá,Kolumbien,Felipe Lleras,male,Bogotá,Colombia,1900-01-01T00:00:00Z,1987-01-01T00:00:00Z,"Lleras, Felipe 1900-1987",http://viaf.org/viaf/7588164298406508630007,"7,59E+21",
"Lleras Codazzi, Ricardo",https://www.wikidata.org/wiki/Q6108286,,M,Colombia,1869,1941,1055125981,Q6108286,"Lleras Codazzi, Ricardo",Unbekannt,1869,,,,Ricardo Lleras Codazzi,male,Bogotá,Colombia,1869-02-10T00:00:00Z,1941-01-18T00:00:00Z,"Lleras Codazzi, Ricardo",http://viaf.org/viaf/52054493,52054493,
"Lleras Restrepo de Ospina, Isabel",Minchero; Sánchez: Diccionario; Ardila/Viscaino; Echavarria,,F,Colombia,1911,1965,,,"Lleras de Ospina, Isabel",,,,,,"Lleras de Ospina, Isabel",,,,,,"Lleras de Ospina, Isabel",http://viaf.org/viaf/39235627,39235627,
"Lleras Restrepo, Carlos",https://www.wikidata.org/wiki/Q540230,,M,Colombia,1908,1994,139444653,Q540230,"Lleras Restrepo, Carlos",Unbekannt,1908,1994,,,Carlos Lleras Restrepo,male,Bogotá,Colombia,1908-04-12T00:00:00Z,1994-09-27T00:00:00Z,"Lleras Restrepo, Carlos, 1908-1994",http://viaf.org/viaf/91680008,91680008,
"Lleras, José Manuel",https://d-nb.info/gnd/1055473076,,M,Colombia,1843,1879,1055473076,,"Lleras, José Manuel",Unbekannt,1843,1879,,,"Lleras, José Manuel",,,,,,"Lleras, José Manuel",http://viaf.org/viaf/309693396,309693396,
"Lleras, Lorenzo María",https://www.wikidata.org/wiki/Q3259483,,M,Colombia,1811,1868,,Q3259483,"Lleras, Lorenzo María",,,,,,Lorenzo María Lleras,male,Bogotá,Colombia,1811-09-07T00:00:00Z,1868-06-03T00:00:00Z,"Lleras, Lorenzo María",,,
"Llona, Numa Pompilio",,"Llona, Numa P.",M,Ecuador,1832,1907,https://d-nb.info/gnd/1019131721,https://www.wikidata.org/wiki/Q6047038,https://www.wikidata.org/wiki/Q6047038,,,,,,,,,,,,,http://viaf.org/viaf/16507622,,
"Llorente, Teodoro",http://viaf.org/viaf/19994662,,M,España,1836,1911,127343725,Q3064232,"Llorente, Teodoro",Männlich,1836-01-07,1911-07-02,Valencia,Spanien,Teodoro Llorente Olivares,male,Valencia,España,1836-01-07,1911-07-02,"Llorente, Teodoro",http://viaf.org/viaf/19994662,,
"Lombardo Radice, Giuseppe",https://es.wikipedia.org/wiki/Giuseppe_Lombardo_Radice,,M,Italia,1879,1938,118902180,Q3770825,,,,,,,,,,,,,,"https://viaf.org/viaf/7407119/#Lombardo-Radice,_Giuseppe",,
"Lombroso, Gina",https://www.wikidata.org/wiki/Q3764463,,F,Italia,1872,1944,119083167,Q3764463,,,,,,,,,,,,,,"https://viaf.org/viaf/24666842/#Lombroso,_Gina,_1872-1944",,
"Londoño Jiménez, Hernando",https://d-nb.info/gnd/1056339152,,M,Colombia,,,1056339152,,"Londoño Jiménez, Hernando",Unbekannt,,,,,"LONDOñO JIMÉNEZ, HERNANDO",,,,,,"Londoño Jiménez, Hernando",http://viaf.org/viaf/309749315,309749315,
"Londoño Londoño, Julio",https://www.wikidata.org/wiki/Q11170638,,M,Colombia,1901,1980,,Q11170638,"LONDOñO LONDOñO, JULIO",,,,,,Julio Londoño Londoño,male,,,1901-05-14T00:00:00Z,1980-06-13T00:00:00Z,Julio Londoño Londoño,http://viaf.org/viaf/16374999,16374999,
"Londoño Marín, Abelardo",QeQ Ven.;  Sánchez: Diccionario Autores Antioqueños; Gallo Martínez,,M,Colombia,1918,1952,,,,,,,,,,,,,,,"Londoño Marín, Abelardo",http://viaf.org/viaf/31251522,31251522,
"Londoño Martínez, Jesús",Sánchez: Diccionario,,M,Colombia,1863,1937,,,"Londoño Martínez, Jesús",,,,,,"Londoño Martínez, Jesús",,,,,,"Londoño Martínez, Jesús",,,
"Londoño Mejía, Carlos Mario",https://d-nb.info/gnd/170647129,,M,Colombia,1918,1991,170647129,,"Londoño Mejía, Carlos Mario",Unbekannt,1918,1991,,,"LONDOñO MEJÍA, CARLOS MARIO",,,,,,"Londoño Mejía, Carlos Mario 1918-1991",http://viaf.org/viaf/219346304,219346304,
"Londoño Pardo, Horacio",http://viaf.org/viaf/43927245; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1917,,,,"LONDOñO PARDO, HORACIO",,,,,,"LONDOñO PARDO, HORACIO",,,,,,"Londoño Pardo, Horacio 1917-",http://viaf.org/viaf/43927245,43927245,
"Londoño Villegas, Roberto",https://publicaciones.banrepcultural.org/index.php/boletin_cultural/article/view/3515/3617,Luis Donoso,M,Colombia,1893,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Londoño Villegas, Roberto",http://viaf.org/viaf/38426805,,
"Londoño, Víctor Manuel",https://viaf.org/viaf/1360163570577016620003/,,M,Colombia,1876,1936,1244250686,,"Londoño, Víctor M.",Unbekannt,1870-09-07,1936-06-23,,,"Londoño, Víctor Manuel",,,,,,"Londoño, Víctor M. 1876-1936",https://viaf.org/viaf/1360163570577016620003/,,
"Longas, Horacio",GALLO,,M,Colombia,1898,1981,,,,,,,,,,,,,,,,http://viaf.org/viaf/23627790,,
"Longfellow, Henry Wadsworth",https://d-nb.info/gnd/118780409,,M,Estados Unidos,1807,1822,118780409,Q152513,"Longfellow, Henry Wadsworth",Männlich,1807-02-27,1882-03-24,"Portland, Me.",USA,Henry Wadsworth Longfellow,male,Portland,United States of America,1807-02-27T00:00:00Z,1882-03-24T00:00:00Z,"Longfellow, Henry Wadsworth",http://viaf.org/viaf/54150826,54150826,
"López Alarcón, Enrique",https://es.wikipedia.org/wiki/Enrique_L%C3%B3pez_Alarc%C3%B3n,,M,España,1881,1948,,Q38206771,,,,,,,Enrique López Alarcón,male,Málaga,España,1881-01-01,1948-01-01,"López Alarcón, Enrique, 1891-1948",https://viaf.org/viaf/21898062/,,
"López Álvarez, Leopoldo",https://www.wikidata.org/wiki/Q5973459,,M,Colombia,1891,1940,,Q5973459,"López Álvarez, Leopoldo",,,,,,Leopoldo López Álvarez,male,Pasto,Colombia,1891-05-06T00:00:00Z,1940-01-01T00:00:00Z,"López Álvarez, Leopoldo",,,
"López C., José Luis",Sánchez: Diccionario Autores Antioqueños,Abel Lee,M,Colombia,,,,,,,,,,,,,,,,,,,,
"López Carrasquilla, Ricardo",Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1841,1926,,,,,,,,,,,,,,,,,,
"López de Mesa, Luis",http://viaf.org/viaf/100202949,L. DE M.,M,Colombia,1884,1967,,,,,,,,,,,,,,,,,,
"López F., Germán",https://d-nb.info/gnd/1206552557,,M,Colombia,1870,1945,1206552557,,"López F., Germán",Unbekannt,1870,1945,,,"LÓPEZ FERNÁNDEZ, GERMÁN",,,,,,"LÓPEZ FERNÁNDEZ, GERMÁN",,,
"López Gómez, Adel",https://d-nb.info/gnd/1056469692; Minchero; Sánchez: Diccionario,,M,Colombia,1900,1989,1056469692,,"López Gómez, Adel",Unbekannt,1900-10-17,1889-08-19,Armenia,Kolumbien,"López Gómez, Adel",,,,,,"López Gómez, Adel",http://viaf.org/viaf/5106846,5106846,
"López Henao, José",Sánchez: Diccionario,,M,Colombia,1909,1955,,,"López Henao, José",,,,,,"López Henao, José",,,,,,"López Henao, José",,,
"López Lapuya, Isidoro",https://es.wikipedia.org/wiki/Isidoro_L%C3%B3pez_Lapuya,,M,España,1882,1927,1031835431,Q22269360,,,,,,,,,,,,,,"https://viaf.org/viaf/32122555/#L%C3%B3pez_Lapuya,_Isidoro",,
"López López, Humberto",https://d-nb.info/gnd/1056554843,,M,Colombia,,,1056554843,,"López López, Humberto",Unbekannt,,,,,"LÓPEZ LÓPEZ, HUMBERTO",,,,,,"LÓPEZ LÓPEZ, HUMBERTO",,,
"López Michelsen, Alfonso",https://www.wikidata.org/wiki/Q356678,,M,Colombia,1913,2007,133336298,Q356678,"López Michelsen, Alfonso",Unbekannt,1913,2007,Bogotá,Kolumbien,Alfonso López Michelsen,male,Bogotá,Colombia,1913-06-30T00:00:00Z,2007-07-11T00:00:00Z,"Lopez Michelsen, Alfonso, 1913-2007",http://viaf.org/viaf/3549161453834564330003,"3,55E+21",
"López Narváez, Carlos",https://www.wikidata.org/wiki/Q97066730,,M,Colombia,1897,1971,,Q97066730,,,,,,,,,,,,,,https://viaf.org/viaf/226062201,226062201,
"López Penha, Abraham Zacarías",https://d-nb.info/gnd/1211577597,,M,Países Bajos,1865,1927,1211577597,,,,,,,,,,,,,,,http://viaf.org/viaf/75926350,75926350,
"López Restrepo, Alejandro",https://www.wikidata.org/wiki/Q94511430,Alejandro López I. C.,M,Colombia,1876,1940,1053143176,Q94511430,"López, Alejandro",Unbekannt,1876,1940,,,Alejandro López,male,,,1876-01-01,1940-01-01,"López, Alejandro",https://viaf.org/viaf/70351099,70351099,
"López Restrepo, Alejandro",http://viaf.org/viaf/70351099,NA,M,Colombia,1876,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"López Restrepo, Alejandro",http://viaf.org/viaf/70351099,,
"López Restrepo, Libardo","ÁLVAREZ, DAA, GALLO, BNC",,M,Colombia,1870,1959,,,,,,,,,,,,,,,,,,
"López Sanín, Jorge",Sánchez: Diccionario Autores Antioqueños,,M,Colombia,,,,,,,,,,,,,,,,,,,,
"López Toro, Álvaro",https://d-nb.info/gnd/171177304,,M,Colombia,,,171177304,,"López Toro, Alvaro",Unbekannt,,,,,"LÓPEZ TORO, ALVARO",,,,,,"López Toro, Alvaro",http://viaf.org/viaf/21322865,21322865,
"López y López, José",https://memoriademora.com/wp-content/uploads/2015/05/mora-en-el-socialista-textos.pdf,,M,España,1890,1957,,,,,,,,,,,,,,,,,,
"López, Eduardo",https://www.wikidata.org/wiki/Q55466181,,M,Colombia,1888,1971,,Q55466181,"López, Eduardo",,,,,,Eduardo López,male,Buga,Colombia,1888-04-13,1971-11-03,"López, Eduardo",,,
"López, Ismael","Nieto; Guimarães, Argeu: Diccionario bio-bibliographico brasileiro : de diplomacia, política externa e direito internacional. - Rio de Janeiro : Edição do autor, 1938.",Cornelio Hispano,M,Colombia,1880,1962,,,,,,,,,,,,,,,,,,
"López, J. Emilio",https://d-nb.info/gnd/1018774327,,M,Colombia,1917,,1018774327,,"López, J. Emilio",Unbekannt,1917,,,,"LÓPEZ, J. EMILIO",,,,,,"LÓPEZ, J. EMILIO",,,
"López, Luis Carlos",https://www.wikidata.org/wiki/132035146,,M,Colombia,1883,1950,132035146,Q9024972,"López, Luis Carlos",Unbekannt,1879,1950,,,Luis Carlos López,male,Bogotá,Colombia,1883-09-11,1950-01-01,"López, Luis Carlos",https://viaf.org/viaf/284335798,284335798,
"Lorenzana, Carlos","Restrepo Sáenz, Genealogías de Santa Fe de Bogotá; BNC",,M,Colombia,,1928,,,,,,,,,,,,,,,,,,
"Lorrain, Jean",https://it.wikipedia.org/wiki/Jean_Lorrain,Jean Lorrain,M,Francia,1855,1906,https://d-nb.info/gnd/118780506,https://www.wikidata.org/wiki/Q127984,"Lorrain, Jean",M,1855,1906,NA,Francia,Jean Lorrain,M,Fécamp,Francia,9 de August de 1855,2373,"Lorrain, Jean",http://viaf.org/viaf/31999544,,
"Loti, Pierre",http://viaf.org/viaf/89440078,,M,Francia,1850,1923,,,,,,,,,,,,,,,,,,
