Colaborador,Fuente,Seudonimo,Sexo,Origen,Nacimiento,Muerte,GND_ID,Wikidata_ID,Colaboradores_GND,Sexo o género_GND,Fecha de nacimiento_GND,Fecha de fallecimiento_GND,Lugar de nacimiento GND,País de origen GND,Colaboradores_Wikidata,sexo o género_Wikidata,Lugar de nacimiento_Wikidata,País de origen_Wikidata,Fecha de nacimiento_Wikidata,Fecha de fallecimiento_Wikidata,Colaborador_VIAF,Link_VIAF,Otras fuentes,
"Correa, E. A.","Sáenz, Alberto. Medellín, República de Colombia",E. A. Correa,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Correa, Ramón",Ospina; Sánchez: Diccionario,,M,Colombia,1896,1975,1056785705,,"Correa, Ramón",Unbekannt,,,,,"Correa, Ramón",,,,,,"Correa, Ramón",,,
"Cortázar, Roberto",,,M,Colombia,1884,1969,,https://d-nb.info/gnd/1056272406,,,,,,,,,,,,,,,,
"Cortés, Narciso Alonso",,NA,M,España,1875,1972,101702558,Q3870396,"Alonso Cortés, Narciso",männlich,1875,1972,Valladolid,Spanien,Narciso Alonso Cortés,male,Valladolid,Spain,1875,1972,"Alonso Cortés, Narciso",https://viaf.org/viaf/36995010/,,
"Cote Lamus, Eduardo",https://www.wikidata.org/wiki/Q5340573,,M,Colombia,1928,1964,138152365,Q5340573,"Cote Lamus, Eduardo",Unbekannt,1928,1964,,,Eduardo Cote Lamus,male,Pamplona,Colombia,1928-08-18T00:00:00Z,1964-08-03T00:00:00Z,"Cote Lamus, Eduardo",http://viaf.org/viaf/88066200,88066200,
"Crespo, José Manuel",https://www.wikidata.org/wiki/Q100758919,,M,Colombia,1942,,105764594X,Q100758919,"Crespo, José Manuel",Unbekannt,1942,,,,José Manuel Crespo,male,Ciénaga,Colombia,1942-05-29T00:00:00Z,,"Crespo, José Manuel",,,
"Crooÿ, Amédée",Wikidata,,M,Bélgica,1869,1923,1253892822,Q64776824,"Crooy, Amédée Marie Léon",,1869,1924,,Deutschland,Amédée Marie Léon Crooy,male,Saint-Josse-ten-Noode,,1869-01-28,8732,"Crooy, Amédée Marie Léon",http://viaf.org/viaf/6772164842516713040005,,
"Cruz, Jesús Antonio",https://www.wikidata.org/wiki/Q94628992,"Pomala, Martín",M,Colombia,1884,1951,,Q94628992,"Pomala, Martín",,,,,,Martín Pomala,,,,1884-01-01T00:00:00Z,1951-01-01T00:00:00Z,"Pomala, Martín",,,
"Cruz, Jorge de la","Ricardo Rendón, 400 personajes en la pluma de Rendón, Santafé de Bogotá 1994; QeQ Venezuela",,M,Colombia,1904,1952,,,,,,,,,,,,,,,,,,
"Cruz, Juana Inés de la",https://d-nb.info/gnd/118811223,,F,México,1648 o 1651,1695,118811223,Q183074,,,,,,,,,,,,,,"https://viaf.org/viaf/88633360/#Juana_In%C3%A9s_de_la_Cruz,_Sor_1648-1695",,
"Cubides J., Gabriel",Ospina; Sánchez: Diccionario,,M,Colombia,1862,1920,,,"Cubides J., Gabriel",,,,,,"Cubides J., Gabriel",,,,,,"Cubides J., Gabriel",,,
"Cuervo Márquez, Carlos",https://d-nb.info/gnd/1056269200,,M,Colombia,1858,1930,1056269200,Q109855072,"Cuervo Márquez, Carlos",Unbekannt,1858,1930,Bogotá,Kolumbien,Carlos Cuervo Márquez,male,,,1858-01-01,1930-01-01,"Cuervo Márquez, Carlos",http://viaf.org/viaf/75220602,75220602,
"Cuervo Márquez, Emilio",https://d-nb.info/gnd/1057047376,,M,Colombia,1873,1937,1057047376,,"Cuervo Márquez, Emilio",Unbekannt,1873-10-03,1937-08-15,Bogotá,Kolumbien,"Cuervo Márquez, Emilio",,,,,,"Cuervo Márquez, Emilio, 1873-1937",http://viaf.org/viaf/41383539,41383539,
"Cuervo Pineda, Juan",https://d-nb.info/gnd/1056690593,,M,Colombia,1927,,1056690593,,"Cuervo Pineda, Juan",Unbekannt,1927,,,,"CUERVO PINEDA, JUAN",,,,,,"Cuervo Pineda, Juan 1927-",http://viaf.org/viaf/309780437,309780437,
"Cuervo, Ángel",https://www.wikidata.org/wiki/Q55999024,,M,Colombia,1838,1896,128650052,Q55999024,"Cuervo, Ángel",Unbekannt,1838,1896,,,Angel Cuervo,male,,,1838-01-01T00:00:00Z,1896-01-01T00:00:00Z,"Cuervo, Ángel",http://viaf.org/viaf/59150420,59150420,
"Cuervo, Luis Augusto","https://viaf.org/viaf/2379972/#Cuervo,_Luis_Augusto,_1893-1954",,M,Colombia,1893,1954,,,,,,,,,,,,,,,,,,
"Cuervo, Rufino José",https://es.wikipedia.org/wiki/Rufino_Jos%C3%A9_Cuervo,,M,Colombia,1844,1911,118670670,Q1247089,"Cuervo, Rufino José",Männlich,1844,1911,,,Rufino José Cuervo Urisarri,male,Bogotá,Colombia,1844-09-19,1911-07-17,"Cuervo, Rufino José",http://viaf.org/viaf/71403202,,
"Cunninghame Graham, Robert Bontie",https://en.wikipedia.org/wiki/Cunninghame_Graham,"Cunninghame Graham, R. B",M,Reino Unido,1852,1936,118718371,Q334633,,,,,,,,,,,,,,"https://viaf.org/viaf/61539913/#Cunninghame_Graham,_R._B._1852-1936",,
"D'Annunzio, Gabriele",http://viaf.org/viaf/49220129,,M,Italia,1863,1938,118503243,Q193236,"D'Annunzio, Gabriele",Männlich,1863-03-12,1938-03-01,Pescara,Italien,Gabriele D'Annunzio,male,Pescara,Italy,1863-03-12,1938-03-01,"D'Annunzio, Gabriele",http://viaf.org/viaf/49220129,,
"D'Avenel, Vizconde",Oursel; Vapereau; Lorenz,,M,Francia,1855,,,,"D'Avenel, Vizconde",,,,,,"D'Avenel, Vizconde",,,,,,"D'Avenel, Vizconde",,,
"D'Enjoÿ, Paul",https://viaf.org/viaf/189460141/,,M,Francia,1866,,,,"D'Enjoy, Paul",,,,,,"D'Enjoy, Paul",,,,,,"Enjoy¨, Paul d' 1866-19..",https://viaf.org/viaf/189460141/,,
"D'Hervilly, Ernest",https://www.wikidata.org/wiki/Q1356595,,M,Francia,1839,1911,1097275574,Q1356595,,,,,,,,,,,,,,"https://viaf.org/viaf/95187896/#Hervilly,_Ernest_%CB%9Cd'%C5%93_1839-1911",,
"D'Ors, Eugenio",https://es.wikipedia.org/wiki/Eugenio_d%27Ors,"Ors, Eugenio d'",M,España,1881,1954,118787225,Q930679,"Ors, Eugenio d'",Unbekannt,1881-09-28,1954-09-25,Barcelona,Spanien,Eugeni d'Ors,male,Barcelona,España,1881-09-18,1954-09-26,"Ors, Eugenio d', 1882-1954",https://viaf.org/viaf/59077528/,,
"Darío, Rubén",https://es.wikipedia.org/wiki/Rub%C3%A9n_Dar%C3%ADo,,M,Nicaragua,1867,1916,118671022,Q173767,"Darío, Rubén",Männlich,1867-01-18,1916-02-06,,,Rubén Darío,male,Ciudad Darío,Nicaragua,1867-01-18,1916-02-06,"Darío, Rubén",http://viaf.org/viaf/7399994,,
"Daubney, William Heaford",https://d-nb.info/gnd/101260411X,William Heaford,M,Reino Unido,1851,,101260411X,Q95236251,,,,,,,,,,,,,,http://viaf.org/viaf/171825703,,
"Daudet, Alphonse",https://es.wikipedia.org/wiki/Alphonse_Daudet,,M,Francia,1840,1897,118523872,Q228546,"Daudet, Alphonse",Männlich,1840-05-13,1897-12-16,Nîmes,Frankreich,Alphonse Daudet,male,Nîmes,France,1840-05-13,1897-12-16,"Daudet, Alphonse, 1840-1897.",https://viaf.org/viaf/4928621/,,
"Dávila Florez, Manuel",,,M,Colombia,1853,1924,,,,,,,,,,,,,,,,http://viaf.org/viaf/6941741,,
"Davray, Henry-D.",http://viaf.org/viaf/119425672,,M,Francia,1873,1944,127819304,Q3784923,"Davray, Henry D.",Unbekannt,1873,1944-01-21,Bricquebec,Frankreich,Henry Davray,male,Gennevilliers,France,1873-01-01,1944-01-21,"Davray, Henry-D.",http://viaf.org/viaf/119425672,,
"Dearmer, Geoffrey",Wikidata,,M,Reino Unido,1893,1996,172686121,Q5534562,"Dearmer, Geoffrey",männlich,1893,1996,,Großbritannien,Geoffrey Dearmer,male,,,1893-03-21,35295,"Dearmer, Geoffrey",http://viaf.org/viaf/97145970239332251875,,
"Dekker, Eduard Douwes",Wikidata,Multatuli,M,Países Bajos,1820,1887,118679279,Q154211,Multatuli,männlich,1820,1887,Amsterdam,Niederlande,Eduard Douwes Dekker,male,Amsterdam,Kingdom of the Netherlands,1820-03-02,1887-02-19,Multatuli,http://viaf.org/viaf/89204476,,
"Delgado, Jorge E.",Ospina;,,M,Colombia,1868,1924,,,"Delgado, Jorge E.",,,,,,"Delgado, Jorge E.",,,,,,"Delgado, Jorge E.",,,
"Delgado, Luis Alfonso",Ospina; QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1900,,,,"Delgado, Luis Alfonso",,,,,,"Delgado, Luis Alfonso",,,,,,"Delgado, Luis Alfonso",,,
"Delgado, Oscar",https://www.wikidata.org/wiki/Q47538415,,M,Colombia,1910,1937,1056762225,Q47538415,"Delgado Sánchez, Oscar",Unbekannt,,,,,Óscar Delgado,male,Santa Ana,Colombia,1910-06-06T00:00:00Z,1937-04-11T00:00:00Z,"Delgado, Óscar",http://viaf.org/viaf/45639614,45639614,
"Deschanel, Paul Eugène Louis",https://it.wikipedia.org/wiki/Paul_Deschanel,NA,M,Francia,1855,1922,https://d-nb.info/gnd/119052857,https://www.wikidata.org/wiki/Q309995,"Deschanel, Pablo",M,1856,1922,NA,Francia,Paul Eugène Louis Deschanel,M,Schärbeek,Francia,13 de February de 1855,8154,"Deschanel, Paul Eugène Louis",http://viaf.org/viaf/39444436,,
"Deslys, Charles",https://www.wikidata.org/wiki/Q1064093,,M,Francia,1821,1885,,Q1064093,,,,,,,,,,,,,,,,
"Desroix, Jacques","https://viaf.org/viaf/202241285/#Desroix,_Jacques",,M,Francia,,,,,"Desroix, Jacques",,,,,,"Desroix, Jacques",,,,,,"Desroix, Jacques",http://viaf.org/viaf/202241285,,
"Déubel, Leon",https://www.wikidata.org/wiki/Q1121416,,M,Francia,1879,1913,,Q1121416,"Déubel, Leon",,,,,,Léon Deubel,male,Belfort,France,1879-03-22,1913-06-12,"Deubel, Léon, 1879-1913",http://viaf.org/viaf/9845487,9845487,
"Díaz de Escobar, Narciso",https://es.wikipedia.org/wiki/Narciso_D%C3%ADaz_de_Escovar,NA,M,España,1860,1935,https://d-nb.info/gnd/1327358603,NA,"Díaz de Escobar, Narciso.",M,1860,NA,Málaga,España,NA,NA,NA,NA,NA,NA,"Díaz de Escovar, Narciso",http://viaf.org/viaf/14854058,,
"Díaz del Castillo, Ildefonso",Sánchez: Diccionario de escritores colombianos: https://www.diccionariodecolombia.expert/diccionario-enciclopedico/diaz-del-castillo-ildefonso/,,M,Colombia,1856,1926,,,,,,,,,,,,,,,,,,
"Díaz García, Antonio",https://www.wikidata.org/wiki/Q86219633,,M,Colombia,1925,2005,,Q86219633,"DIAZ GARCIA, ANTONIO",,,,,,Antonio Díaz García,male,,,1925-07-26T00:00:00Z,2005-09-14T00:00:00Z,"DIAZ GARCIA, ANTONIO",,,
"Díaz Granados, José Luis",https://www.wikidata.org/wiki/Q94541479,,M,Colombia,1946,,1030143749,Q94541479,"Díaz Granados, José Luis",Unbekannt,1946,,,,José Luis Díaz Granados,male,Santa Marta,Colombia,1946-01-01T00:00:00Z,,"Díaz Granados, José Luis",,,
"Díaz Guerra, Alirio",https://d-nb.info/gnd/1056400102,,M,Colombia,1862,1940,1056400102,,"Díaz Guerra, Alirio",Unbekannt,1862,1940,,,"Díaz Guerra, Alirio",,,,,,"Díaz Guerra, Alirio",http://viaf.org/viaf/75081467,75081467,
"Díaz Lemos, Ángel María",Ospina; Otero Muñoz; Sánchez: Diccionario,,M,Colombia,1853,1939,,,,,,,,,,,,,,,,,,
"Díaz Martínez, Antolín",http://viaf.org/viaf/28548456,,M,Colombia,1939,,1056302372,,"Díaz Martínez, Antolín",Unbekannt,,,,,"Díaz Martínez, Antolín",,,,,,"Díaz Martínez, Antolín",http://viaf.org/viaf/28548456,28548456,
"Díaz Rodríguez, Manuel",https://es.wikipedia.org/wiki/Manuel_D%C3%ADaz_Rodr%C3%ADguez,,M,Venezuela,1871,1927,,Q6752546,,,,,,,,,,,,,,http://viaf.org/viaf/12337247,,
"Díaz Romero, Eugenio",https://d-nb.info/gnd/1057351393,,M,Argentina,1877,1927,1057351393,Q55229401,,,,,,,,,,,,,,http://viaf.org/viaf/313561375,,
"Díaz, Gerardo",https://gl.wikipedia.org/wiki/Gerardo_Mar%C3%ADa_D%C3%ADaz,NA,M,España,1893,1981,NA,https://www.wikidata.org/wiki/Q116689762,NA,NA,NA,NA,NA,NA,Gerardo María Díaz,M,NA,España,1893,1981,NA,NA,,
"Díaz, Leopoldo",https://es.wikipedia.org/wiki/Leopoldo_D%C3%ADaz,,M,Argentina,1862,1947,1078699208,Q16270880,"Díaz, Leopoldo",Unbekannt,1862,1947,Chivilcoy,Argentinien,Leopoldo Díaz,male,Chivilcoy,Argentina,1862-01-01,1947-01-01,"Díaz, Leopoldo",http://viaf.org/viaf/61584602,,
"Díaz, Pedro Pablo",Rojas; Diccionario General,,M,Venezuela,1784,1856,,,"Díaz, Pedro Pablo",,,,,,Pedro Pablo Díaz,,,,,,"Díaz, Pedro Pablo",,,
"Dicenta, Joaquín",https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Dicenta,,M,España,1862,1917,1057225231,Q2450746,"Dicenta, Joaquín",Männlich,1862,1917,Calatayud,Spanien,Joaquín Dicenta,male,Calatayud,España,1862-02-03,1917-02-21,"Dicenta, Joaquín",http://viaf.org/viaf/68949187,,
"Dickinson, Goldsworthy Lowes",Wikidata,,M,Reino Unido,1862,1932,101591624,Q3264399,"	Dickinson, Goldsworthy Lowes",männlich,1862,1932,London,Großbritannien,Goldsworthy Lowes Dickinson,male,London,United Kingdom,1862-08-06,11904,"Dickinson, Goldsworthy Lowes",http://viaf.org/viaf/29900978,,
"Díez Canedo, Enrique",http://viaf.org/viaf/59091986,,M,España,1879,1944,,,,,,,,,,,,,,,,,,
"Domínguez Camargo, Hernando",https://d-nb.info/gnd/1048017990,,M,Colombia,1606,1659,1048017990,,"Domínguez Camargo, Hernando",Unbekannt,1606,1659,Bogotá,Kolumbien,"Domínguez Camargo, Hernando",,,,,,"Domínguez Camargo, Hernando",http://viaf.org/viaf/18749054,18749054,
"Domínguez, Franklin",https://www.wikidata.org/wiki/Q5868594,,M,Colombia,1931,,,Q5868594,"DOMINGUEZ, FRANKLIN",,,,,,Franklin Domínguez,male,Santiago de los Caballeros,Dominican Republic,1931-06-05T00:00:00Z,,"Domínguez, Franklin 1931-",http://viaf.org/viaf/45624825,45624825,
"Donato Navarro, Manuel",Gallo Martínez,,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Dorn y de Alsúa, Enrique",Olympedia,,M,Ecuador,1863,1937,,,,,,,,,,,,,,,,,,
"Douglas, James",https://www.wikidata.org/wiki/Q21497404,,M,Polonia,1878,,,Q21497404,,,,,,,,,,,,,,,,
"Drago, Luis María",https://es.wikipedia.org/wiki/Luis_Mar%C3%ADa_Drago,,M,Argentina,1859,1821,gnd/1055247211,Q726607,,,,,,,,,,,,,,http://viaf.org/viaf/15145772,,
"Duarte French, Alberto",QeQ Ven.; Minchero; Sánchez: Diccionario,,M,Colombia,1918,,,,"Duarte French, Alberto",,,,,,"Duarte French, Alberto",,,,,,"Duarte French, Alberto",,,
"Dumas, Jöel",https://bibliophilelanguedocien.blogspot.com/2012/05/pan-revue-litteraire-de-montpellier.html,,M,Francia,1885,,,,,,,,,,,,,,,,,,,
"Dunsany, Edward John Moreton Drax Plunkett",https://es.wikipedia.org/wiki/Lord_Dunsany,Lord Dunsany,M,Irlanda,1878,1959,https://d-nb.info/gnd/119241595,https://www.wikidata.org/wiki/Q458658,,,,,,,,,,,,,,http://viaf.org/viaf/54152830,,
"Duperly, Oscar",Diccionario de Antioqueños,,M,Jamaica,1886,,,,,,,,,,,,,,,,,,,
"Dupin de Dudevant, Amantine-Aurore-Lucile",https://es.wikipedia.org/wiki/George_Sand,George Sand,F,Francia,1804,1876,118605348,Q3816,,,,,,,,,,,,,,"https://viaf.org/viaf/46766944/#Sand,_George,_1804-1876",,
"Duque Bernal, Augusto",Gallo Martínez,,M,Colombia,1896,1935,,,,,,,,,,,,,,,"Duque Bernal, Augusto",,,
"Duque Bernal, Mario",Sánchez: Diccionario: Gallo Martínez,,M,Colombia,1904,1933,,,,,,,,,,,,,,,,,,
"Duque de Valdés, Nelly",https://d-nb.info/gnd/115877785X,,F,Colombia,,,115877785X,,"Duque de Valdés, Nelly",Unbekannt,,,,,"DUQUE DE VALDES, NELLY",,,,,,"Duque de Valdés, Nelly",http://viaf.org/viaf/331152636060820051129,"3,31E+20",
"Duque Estrada, Gilberto","Franco Valencia, Francisco (1996): Visión de Aguadas, 1814-1994. Volumen 2.",,M,Colombia,1903,,,,,,,,,,,,,,,,,http://viaf.org/viaf/3942160668295103560001,,
"Duque Gómez, Luis",https://www.wikidata.org/wiki/Q5983197,,M,Colombia,1916,2000,,Q5983197,"Duque Gómez, Luis",,,,,,Luis Duque Gómez,male,Marinilla,Colombia,1916-04-20T00:00:00Z,2000-12-27T00:00:00Z,"Duque Gómez, Luis",http://viaf.org/viaf/36917635,36917635,
"Duque Uribe, Rafael",Sánchez: Diccionario,,M,Colombia,,1862,,,,,,,,,,,,,,,,,,
"Duque, Antonio de J.",Sánchez: Diccionario,A. de J. D.; Duque A. de J.,M,Colombia,,,,,"Duque, Antonio",,,,,,"Duque, Antonio J.",,,,,,"Duque, Antonio J.",,,
"Dwinger, Edwin Erich",https://de.wikipedia.org/wiki/Edwin_Erich_Dwinger,,M,Alemania,1898,1981,https://d-nb.info/gnd/118681427,https://www.wikidata.org/wiki/Q108649,,,,,,,,,,,,,,http://viaf.org/viaf/111583863,,
"Eastman Calderón, Haydeé",https://haydeeeastman.bibliotecapiloto.gov.co/,,F,Colombia,1916,1989,,,,,,,,,,,,,,,,,,
"Eastman, María",https://viaf.org/viaf/75487712; Ospina; Minchero; Sánchez: Diccionario,,F,Colombia,1901,1947,,,,,,,,,,,,,,,,http://viaf.org/viaf/75487712,http://academiadehistoriadelquindio.blogspot.com/2017/07/maria-eastman-y-el-historiador-jaime.html,
"Eastman, Tomás Oziel",https://www.wikidata.org/wiki/Q27105794,"Eastman, Tomás O.",M,Colombia,1865,1931,1055472878,Q27105794,"Eastman, Tomás O.",Unbekannt,1865,1931,,,Tomás O. Eastman,male,Marmato,Colombia,1865-10-06,1931-04-23,"Eastman, Tomás O",http://viaf.org/viaf/301839474,301839474,
"Eça de Queirós, José Maria",https://www.wikidata.org/wiki/Q316327,,M,Portugal,1845,1900,102050945,Q316327,"Queiroz Velloso, José Maria de",Unbekannt,1860,1952,,,José Maria de Eça de Queiroz,male,Póvoa de Varzim,Portugal,1845-11-25,1900-08-16,"Queiroz, José Maria d'Eça de",http://viaf.org/viaf/76013715,76013715,
"Echagüe, Francisco",https://viaf.org/viaf/87020044/,,M,España,1860,1924,1159055327,Q8962340,"Echagüe y Nogueira, Francisco",,,,,,Francisco Echagüe,male,Alfaro,España,1860-01-15,1924-03-13,"Echagüe, Francisco 1860-1924",https://viaf.org/viaf/87020044/,,
"Echavarría Barrientos, Raúl",https://www.wikidata.org/wiki/Q106512162; Sánchez: Diccionario,,M,Colombia,1923,1986,,Q106512162,"Echavarría Barrientos, Raúl",,,,,,Raúl Echavarría Barrientos,male,,,,1986-09-17T00:00:00Z,"Echavarría Barrientos, Raúl",,,
"Echavarría M., Guillermo",https://d-nb.info/gnd/1224495012,,M,Colombia,1888,1985,1224495012,,"Echavarría M., Guillermo",Unbekannt,1888,1985,Medellin,Kolumbien,"ECHAVARRIA M., GUILLERMO",,,,,,"Echavarría M., Guillermo 1888-1985",http://viaf.org/viaf/8089161030936823920004,"8,09E+21",
"Echavarría Olózaga, Hernán",https://www.wikidata.org/wiki/Q5896130,,M,Colombia,1911,2006,171153359,Q5896130,"Echavarría Olózaga, Hernán",Unbekannt,,,,,Hernán Echavarría Olózoga,male,Medellín,Colombia,1911-04-07T00:00:00Z,2006-02-21T00:00:00Z,"Echavarría Olózaga, Hernán",http://viaf.org/viaf/22267900,22267900,
"Echavarría Vélez, Liborio",Ospina,,M,Colombia,1848,1888,,,,,,,,,,,,,,,,,,
"Echavarría, Enrique",http://viaf.org/viaf/310555828; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1875,1958,,,"ECHAVARRIA, ENRIQUE",,,,,,"ECHAVARRIA, ENRIQUE",,,,,,"Echavarría, Enrique 1875-1958",http://viaf.org/viaf/310555828,310555828,
"Echavarría, Rogelio",https://www.wikidata.org/wiki/Q6110945,,M,Colombia,1926,2017,1056413263,Q6110945,"Echavarría, Rogelio",Unbekannt,1926,2017,,,Rogelio Echavarría Múnera,male,Santa Rosa de Osos,Colombia,1926-03-27T00:00:00Z,2017-11-29T00:00:00Z,"Echavarría, Rogelio",http://viaf.org/viaf/61589031,61589031,
"Echegaray, José",https://es.wikipedia.org/wiki/Jos%C3%A9_Echegaray,,M,España,1832,1916,119047314,Q127349,,,,,,,,,,,,,,http://viaf.org/viaf/79077383,,
"Echeverri Abad, Luis Guillermo",https://www.wikidata.org/wiki/Q110270925,,M,Colombia,1908,1963,,Q110270925,"ECHEVERRI ABAD, LUIS GUILLERMO",,,,,,Luis Guillermo Echeverri Abad,male,,,,,"Echeverri Abad, Luis Guillermo, 1908-1963",http://viaf.org/viaf/39170067,39170067,
"Echeverri Duque, Jesús",Gallo Martínez: Diccionario Biográfico de Antioqueños,,M,Colombia,1896,1969,,,,,,,,,,,,,,,,,,
"Echeverri M., Aquiles",https://d-nb.info/gnd/1056705531,,M,Colombia,1918,,1056705531,,"Echeverri M., Aquiles",Unbekannt,1918,,,,"ECHEVERRI M., AQUILES",,,,,,"Echeverri M., Aquiles 1918-",http://viaf.org/viaf/9096160667649903560008,"9,10E+21",
"Echeverri Mejía, Arturo",https://www.wikidata.org/wiki/Q112510339,,M,Colombia,1918,1964,1056628928,Q112510339,"Echeverri Mejía, Arturo",Unbekannt,1918,1964,,,Arturo Echeverri Mejía,male,,,1919-01-01T00:00:00Z,1964-01-01T00:00:00Z,"Echeverri Mejía, Arturo 1918-1964",http://viaf.org/viaf/77675162,77675162,
"Echeverri Mejía, Oscar",https://d-nb.info/gnd/1089136730,,M,Colombia,1918,,1089136730,,"Echeverri Mejía, Oscar",Unbekannt,1918,,,,"Echeverri Mejía, Oscar",,,,,,"Echeverri Mejía, Oscar",http://viaf.org/viaf/21000380,21000380,
"Echeverri Uribe, Carlos",Ospina; Sánchez: Diccionario,,M,Colombia,1862,1927,105723902X,Q110290062,"Echeverri Uribe, Carlos",Unbekannt,,,,,Carlos Uribe Echeverri,male,,,,,"Echeverri Uribe, Carlos",http://viaf.org/viaf/310558179,310558179,
"Echeverri, Camilo Antonio",https://www.wikidata.org/wiki/Q5826964,,M,Colombia,1827,1887,135797284,Q5826964,"Echeverri, Camilo Antonio",Unbekannt,1827,1887,,,Camilo Antonio Mario Echeverri,male,,,1827-01-01,1887-01-01,"Echeverri, Camilo Antonio, 1827-1887",http://viaf.org/viaf/80254553,80254553,
"Echeverría Rodríguez, Roberto",QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1907,,,,"Echeverría Rodríguez, Roberto",,,,,,"Echeverría Rodríguez, Roberto",,,,,,"Echeverría Rodríguez, Roberto 1907-",http://viaf.org/viaf/31580663,31580663,
"Echeverría, Eduardo",Ospina; Minchero; Sánchez: Diccionario; Ardila/Viscaino; Echavarria,,M,Colombia,1873,1948,,,"Echeverría, Eduardo",,,,,,"Echeverría, Eduardo",,,,,,"Echeverría, Eduardo",,,
"Edwards Mac-clure, Agustín",https://es.wikipedia.org/wiki/Agust%C3%ADn_Edwards_Mac-Clure,,M,Chile,1878,1941,143555103,Q11952,,,,,,,,,,,,,,"https://viaf.org/viaf/49049708/#Edwards,_Agust%C3%ADn,_1878-1941.",,
"Elejalde Toro, Bernardo",https://d-nb.info/gnd/105724953X,,M,Colombia,1922,,105724953X,,"Elejalde Toro, Bernardo",Unbekannt,1922,,,,"ELEJALDE TORO, BERNARDO",,,,,,"Elejalde Toro, Bernardo 1922-",http://viaf.org/viaf/310559012,310559012,
"Elejalde Toro, Hernando",https://d-nb.info/gnd/1056675683,,M,Colombia,,,1056675683,,"Elejalde Toro, Hernando",Unbekannt,,,,,"ELEJALDE TORO, HERNANDO",,,,,,"Elejalde Toro, Hernando",http://viaf.org/viaf/309779056,309779056,
"Eliot, Thomas Stearns",https://es.wikipedia.org/wiki/T._S._Eliot,T. S. Eliot,M,Estados Unidos,1888,1965,https://d-nb.info/gnd/118529854,https://www.wikidata.org/wiki/Q37767,,,,,,,,,,,,,,,,
"Escallón, Rafael",https://babel.banrepcultural.org/digital/collection/r_rendon/id/283/,,M,Colombia,1891,1951,,,,,,,,,,,,,,,,,"https://www.google.de/books/edition/El_desaf%C3%ADo_de_las_ideas/5ffHM4PHQXcC?hl=es&gbpv=1&dq=Escall%C3%B3n,+Rafael&pg=PA79&printsec=frontcover",
"Escobar Campuzano, Jesús",Gallo Martínez,,M,Colombia,1852,1924,,,,,,,,,,,,,,,"Escobar Campuzano, Jesús",,,
"Escobar Escobar, Hernán",Gallo Martínez,,M,Colombia,1925,1986,,,,,,,,,,,,,,,"Escobar Escobar, Hernán",http://viaf.org/viaf/9405159477562827990008,"9,41E+21",
"Escobar G., Carlos J.",https://d-nb.info/gnd/1057613312,,M,Colombia,,,1057613312,,"Escobar G., Carlos J.",Unbekannt,,,,,"ESCOBAR G., CARLOS J.",,,,,,"Escobar G., Carlos J.",http://viaf.org/viaf/310586950,310586950,
"Escobar Isaza, Roberto",Sánchez: Diccionario de escritores antioqueños,,M,Colombia,1897,,,,,,,,,,,,,,,,,,,
"Escobar Larrazábal, Melitón",https://www.degruyter.com/document/doi/10.31819/9783954876822-011/html,M.E.L,M,Colombia,,,,,,,,,,,,,,,,,,,https://www.geni.com/people/Melit%C3%B3n-Escobar-Larraz%C3%A1bal-Presidente-Sociedad-Colombiana-de-Ingenieros-SCI-1929/6000000008537815537,
"Escobar Ortiz, Mario",Sánchez: Diccionario; Ortega Ricaurte,,M,Colombia,Siglo XX,,1056313870,,"Escobar Ortiz, Mario",Unbekannt,,,,,"Escobar Ortiz, Mario",,,,,,"Escobar Ortiz, Mario",http://viaf.org/viaf/60711424,60711424,
"Escobar Padilla, Cenón","Ortega Ricaute, Enrique: Regidores de Bogotá, 1539-1933:  https://de.wikipedia.org/wiki/Liste_der_B%C3%BCrgermeister_von_Bogot%C3%A1",,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Escobar Piedrahita, Arcesio",Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1832,1867,,,,,,,,,,,,,,,,,,
"Escobar Pino, Roberto","Botero Arango, Fidel. (2000). Enciclopedia de apellidos de Colombia.",,M,Colombia,1869,1911,,,,,,,,,,,,,,,,,,
"Escobar R., Eusebio","Laverde Amaya, Isidoro. Bibliografía colombiana. https://www.cervantesvirtual.com/obra/bibliografia-colombiana-878619/",,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Escobar Roa, Rafael","Minchero Vilasaró, Angel: Diccionario universal de escritores. - San Sebastián : Ideas Hechos, 1957. Sánchez López, Luis María: Diccionario de escritores colombianos. - 2a. ed. - Barcelona : Plaza & Janes, 1982. Echavarría,",,M,Colombia,1879,1954,,,"Escobar, Rafael",,,,,,"Escobar Roa, Rafael",,,,,,"Escobar Roa, Rafael",,,
