NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Cvltura. Revista mensual,31,Anónimo,Creador,NA,NA,AL MARGEN. REVISTA POLÍTICA,3,"ABRIL, MCMXV",1915-04-01,Sí,"Coradine, Alberto",Español,NA,Prosa No Ficción,NA,NA,NA,5,203-207
Cvltura. Revista mensual,32,"Escobar Larrazábal, Melitón",Editor,E. M. L.,NA,AL MARGEN. LA FORMULA DEL TALENTO,3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2.6,208-210
Cvltura. Revista mensual,33,"Rivas, Raimundo",Editor,R.R,Colombia,UNA CARTA DEL GENERAL SANTANDER,3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,4,210-214
Cvltura. Revista mensual,34,"López de Mesa, Luis",Director,NA,Colombia,REFORMA MILITAR,4,MAYO MCMXV,1915-05-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,5,215-219
Cvltura. Revista mensual,35,"Escobar Larrazábal, Melitón",Editor,M. E. L.,Colombia,LA CARTOGRAFIA Y EL PROTOCOLO,4,MAYO MCMXV,1915-05-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,14.6,220-234
Cvltura. Revista mensual,36,"Caro, Luis Alejandro",Creador,NA,NA,A APOLO,4,MAYO MCMXV,1915-05-01,No,NA,Español,NA,Poesía,NA,NA,NA,2,235-236
Cvltura. Revista mensual,37,"López de Mesa, Luis",Director,Onorato Desiderio,Colombia,MIRIAM,4,MAYO MCMXV,1915-05-01,No,NA,Español,NA,Poesía,Exégisis lírica,NA,NA,3.5,237-240
Cvltura. Revista mensual,38,"Triana, Miguel",Creador,NA,Colombia,LA BARRA DEL RIO MAGDALENA,4,MAYO MCMXV,1915-05-01,No,NA,Español,NA,Prosa No Ficción,Capítulo de libro,NA,NA,13.5,241-253
Cvltura. Revista mensual,39,"López de Mesa, Luis",Director,López de Mesa,Colombia,LA MUJER ES LA ARMONIA DEL HOMBRE,4,MAYO MCMXV,1915-05-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,08.2,254-262
Cvltura. Revista mensual,40,"López de Mesa, Luis",Director,López de Mesa,Colombia,DE LA POLÍTICA,4,MAYO MCMXV,1915-05-01,No,NA,Español,NA,Prosa No Ficción,Al margen,NA,NA,3,263-265
